monarchrunid,monarchlocationid,behaviorclassification,duration,locationn,locatione,surface,landcoverclassification
17202a,17202a03,feed,0:00:01,4649068.602,445323.556,resource: blazing star,pasture
17202b,17202b01,release,0:00:39,4649065.09,445323.624,vegetative wild bergamot,pasture
17202b,17202b02,fly,0:00:05,na,na,air,pasture
17202b,17202b03,rest,0:00:01,4649073.954,445347.894,vegetative thistle,pasture
17202c,17202c01,release,0:00:06,4649065.09,445323.624,vegetative wild bergamot,pasture
17202c,17202c02,fly,0:00:03,na,na,air,pasture
17202c,17202c03,feed,0:00:01,4649068.834,445322.734,resource: blazing star,pasture
17202d,17202d01,release,0:00:02,4649065.09,445323.624,vegetative wild bergamot,pasture
17202d,17202d02,fly,0:00:03,na,na,air,pasture
17202d,17202d03,rest,0:00:01,4649068.458,445322.533,vegetative thistle,pasture
17202e,1.72E+03,release,0:00:11,4649048.835,445323.703,vegetative wild bergamot,pasture
17202e,1.72E+02,fly,0:00:03,na,na,air,pasture
17202e,1.72E+01,rest,0:00:01,4649054.125,445336.935,vegetative stage common milkweed,pasture
17202f,17202f-01,release,0:00:11,4649048.835,445323.703,vegetative wild bergamot,pasture
17202f,17202f-02,fly,0:00:03,na,na,air,pasture
17202f,17202f-03,feed,0:00:01,4649036.524,445340.54,red clover,pasture
17204a,17204a01,release,0:00:50,4649065.09,445323.624,vegetative wild bergamot,pasture
17204a,17204a02,fly,0:00:03,na,na,air,pasture
17204a,17204a03,rest,0:00:01,"4,649,063.53","445,323.89",grass,pasture
17204b,17204b01,release,0:00:30,4649065.09,445323.624,vegetative wild bergamot,pasture
17204b,17204b02,fly,0:00:30,na,na,air,pasture
17204b,17204b03,fly,0:00:01,4648902.54,445316.436,air - cross edge,pasture
17204b,17204b04,fly,0:00:30,na,na,air,pasture
17204b,17204b05,fly,0:00:01,4648687.077,445296.226,air - last visual,pasture
17205a,17205a01,release,0:05:00,4668591.425,613089.56,vegetative wild bergamot,sod
17212a,17212a01,release,0:00:08,4668591.425,613089.56,vegetative wild bergamot,sod
17212a,17212a02,fly,0:00:03,na,na,air,sod
17212a,17212a03,rest,0:00:01,4668606.321,613105.918,grass,sod
17213a,17213a01,release,0:09:45,4668620.348,613143.937,vegetative wild bergamot,sod
17213a,17213a02,fly,0:02:00,na,na,air,sod
17213a,17213a03,fly,0:00:01,4668875.906,613334.61,air - cross edge,edge
17213a,17213a04,fly,0:00:03,na,na,air,corn
17213a,17213a05,rest,0:11:00,4668889.766,613346.529,corn,corn
17214a,17214a01,release,0:00:20,4668591.425,613089.56,vegetative wild bergamot,sod
17214a,17214a02,fly,0:00:03,na,na,air,sod
17214a,17214a03,rest,0:03:00,4668593.387,613089.629,grass,sod
17214a,17214a04,fly,0:01:00,na,na,air,sod
17214a,17214a05,rest,0:00:01,4668897.779,613127.984,weedy edge,edge
17215a,17215a01,release,0:02:10,4668591.425,613089.56,vegetative wild bergamot,sod
17215a,17215a02,fly,0:00:25,na,na,air,sod
17215a,17215a03,fly,0:00:01,4668685.45,613118.645,air,sod
17216a,17216a01,release,0:10:00,4668591.425,613089.56,vegetative wild bergamot,sod
17217a,17217a01,release,0:09:22,4668591.425,613089.56,vegetative wild bergamot,sod
17217a,17217a02,fly,0:00:30,na,na,air,sod
17217a,17217a03,fly,0:00:01,4668683.122,613163.861,air,sod
17218a,17218a01,release,0:00:17,4668591.425,613089.56,vegetative wild bergamot,sod
17218a,17218a02,fly,0:00:03,na,na,air,sod
17218a,17218a03,fly,0:00:01,4668606.657,613121.213,air,sod
17219a,17219a01,release,0:10:00,4668591.425,613089.56,vegetative wild bergamot,sod
