monarchrunid,monarchlocationid,uniqueid,order,behaviorclassification,date,time,datetime,duration,locationn,locatione,surface,landcoverclassification,steplength,bearing
17179a,17179a07,153,7,rest,7/30/2017,10:24,2017-07-20t11:02:33,0:00:45,4668661.89,613143.14,grass,sod,8.196566354,259.52634280200
17179a,17179a08,154,8,rest,7/30/2017,10:24,2017-07-20t11:02:34,0:00:45,4668660.4,613135.08,grass,sod,11.59114317,280.68949481300
17179a,17179a09,155,9,rest,7/30/2017,10:24,2017-07-20t11:02:35,0:00:45,4668662.55,613123.69,grass,sod,6.774215822,275.76108882300
17179a,17179a10,156,10,rest,7/30/2017,10:24,2017-07-20t11:02:36,0:00:45,4668663.23,613116.95,grass,sod,6.175710485,263.02458064700
17179a,17179a11,157,11,rest,7/30/2017,10:24,2017-07-20t11:02:37,0:00:45,4668662.48,613110.82,grass,sod,6.591282121,271.13011917600
17179a,17179a12,158,12,rest,7/30/2017,10:24,2017-07-20t11:02:38,0:00:45,4668662.61,613104.23,grass,sod,19.78824398,290.37643521300
17179a,17179a13,159,13,rest,7/30/2017,10:24,2017-07-20t11:02:39,0:00:45,4668669.5,613085.68,grass,sod,,
17179b,17179b01,160,1,release,7/30/2017,10:39,2017-07-20t11:02:40,0:09:00,4668650.73,613168.52,vegetative wild bergamot,sod,1.500833101,6.88825827776
17179b,17179b02,161,2,rest,7/30/2017,10:39,2017-07-20t11:02:41,0:00:30,4668652.22,613168.7,grass,sod,2.589903473,239.87095735900
17179b,17179b03,162,3,rest,7/30/2017,10:39,2017-07-20t11:02:42,0:00:30,4668650.92,613166.46,grass,sod,2.393846278,194.26844393500
17179b,17179b04,163,4,rest,7/30/2017,10:39,2017-07-20t11:02:43,0:00:30,4668648.6,613165.87,grass,sod,18.00881173,247.02282116900
17179b,17179b05,164,5,rest,7/30/2017,10:39,2017-07-20t11:02:44,0:00:01,4668641.57,613149.29,grass,sod,,
17181a,17181a01,165,1,release,7/30/2017,10:11,2017-07-20t11:02:45,0:01:00,4668650.73,613168.52,vegetative wild bergamot,sod,2.325725693,30.20323775610
17181a,17181a02,166,2,rest,7/30/2017,10:11,2017-07-20t11:02:46,0:00:30,4668652.74,613169.69,grass,sod,24.57454984,116.77358812600
17181a,17181a03,167,3,fly,7/30/2017,10:11,2017-07-20t11:02:47,0:00:01,4668641.67,613191.63,air,sod,,
17182a,17182a01,168,1,release,7/30/2017,9:34,2017-07-20t11:02:48,0:12:00,4668650.73,613168.52,vegetative wild bergamot,sod,,
17184a,17184a01,169,1,release,7/31/2017,12:41:00,2017-07-20t11:02:49,0:02:00,4649087.15,445305.21,vegetative wild bergamot,pasture,156.8545677,65.49860677010
17184a,17184a02,170,2,rest,7/31/2017,12:41:00,2017-07-20t11:02:50,0:10:00,4649152.2,445447.94,tree,roadside,,
17186a,17186a01,171,1,release,8/2/2017,10:39:00,2017-07-20t11:02:51,0:00:15,4649065.09,445323.62,vegetative wild bergamot,pasture,35.1572937,273.79998206500
17186a,17186a02,172,2,feed,8/2/2017,10:39:00,2017-07-20t11:02:52,0:00:01,4649067.42,445288.54,red clover,pasture,,
17186b,17186b01,173,1,release,8/2/2017,10:41:00,2017-07-20t11:02:53,0:00:22,4649065.09,445323.62,vegetative wild bergamot,pasture,40.84018854,255.11647915800
17186b,17186b02,174,2,rest,8/2/2017,10:41:00,2017-07-20t11:02:54,0:00:01,4649054.6,445284.15,grass,pasture,18.77234402,200.35599842100
17186b,17186b03,175,3,feed,8/2/2017,10:41:00,2017-07-20t11:02:55,0:00:01,4649037,445277.62,red clover,pasture,,
17186c,17186c01,176,1,release,8/2/2017,10:44:00,2017-07-20t11:02:56,0:00:29,4649065.09,445323.62,vegetative wild bergamot,pasture,97.15113381,202.46289806000
17186c,17186c02,177,2,lost,8/2/2017,10:44:00,2017-07-20t11:02:57,0:00:01,4648975.31,445286.5,air  last visual,pasture,,
17196a,17196a01,178,1,release,8/2/2017,10:22:00,2017-07-20t11:02:58,0:10:00,4649065.09,445323.62,vegetative wild bergamot,pasture,,
17202a,17202a01,179,1,release,8/2/2017,9:28:00,2017-07-20t11:02:59,0:00:06,4649065.09,445323.62,vegetative wild bergamot,pasture,3.510512783,359.02068034600
17202a,17202a02,180,2,feed,8/2/2017,9:28:00,2017-07-20t11:03:00,0:00:01,4649068.6,445323.56,resource: blazing star,pasture,,
17202b,17202b01,181,1,release,8/2/2017,9:30:00,2017-07-20t11:03:01,0:00:39,4649065.09,445323.62,vegetative wild bergamot,pasture,25.83665032,69.94489723140
17202b,17202b02,182,2,rest,8/2/2017,9:30:00,2017-07-20t11:03:02,0:00:01,4649073.95,445347.89,vegetative thistle,pasture,,
17202c,17202c01,183,1,release,8/2/2017,9:40:00,2017-07-20t11:03:03,0:00:06,4649065.09,445323.62,vegetative wild bergamot,pasture,3.84443754,346.61440618500
17202c,17202c02,184,2,feed,8/2/2017,9:40:00,2017-07-20t11:03:04,0:00:01,4649068.83,445322.73,resource: blazing star,pasture,,
17202d,17202d01,185,1,release,8/2/2017,9:43:00,2017-07-20t11:03:05,0:00:02,4649065.09,445323.62,vegetative wild bergamot,pasture,3.54189215,342.07660704500
17202d,17202d02,186,2,rest,8/2/2017,9:43:00,2017-07-20t11:03:06,0:00:01,4649068.46,445322.53,vegetative thistle,pasture,,
17202e,17202ee01,187,1,release,8/2/2017,9:46:00,2017-07-20t11:03:07,0:00:11,4649048.84,445323.7,vegetative wild bergamot,pasture,14.25768915,68.22097750620
